Tanggal;Hujan
30/05/2018;0,02
31/05/2018;0
01/06/2018;15,05
02/06/2018;7,48
03/06/2018;0,17
04/06/2018;5,17
05/06/2018;2,78
06/06/2018;0,01
07/06/2018;0,63
08/06/2018;1,23
09/06/2018;0,37
10/06/2018;0
11/06/2018;0,04
12/06/2018;0,02
13/06/2018;0
14/06/2018;0
15/06/2018;0
16/06/2018;0
17/06/2018;0
18/06/2018;0
19/06/2018;0,34
20/06/2018;20,09
21/06/2018;11,79
22/06/2018;0,08
23/06/2018;0,03
24/06/2018;3,8
25/06/2018;1,74
26/06/2018;1,04
27/06/2018;0,19
28/06/2018;0
29/06/2018;0
30/06/2018;0
01/07/2018;0
02/07/2018;0
03/07/2018;0,16
04/07/2018;0,15
05/07/2018;0,01
06/07/2018;0
07/07/2018;0
08/07/2018;0
09/07/2018;0
10/07/2018;0
11/07/2018;0
12/07/2018;0
13/07/2018;0
14/07/2018;0,23
15/07/2018;0,04
16/07/2018;0,06
17/07/2018;0,03
18/07/2018;0
19/07/2018;0
20/07/2018;0
21/07/2018;0
22/07/2018;0,23
23/07/2018;0,04
24/07/2018;0
25/07/2018;0
26/07/2018;0
27/07/2018;0
28/07/2018;0
29/07/2018;0
30/07/2018;0
31/07/2018;0
01/08/2018;0,05
02/08/2018;0,03
03/08/2018;0,01
04/08/2018;0,03
05/08/2018;0,05
06/08/2018;0,07
07/08/2018;0,08
08/08/2018;0,02
09/08/2018;0
10/08/2018;0,11
